You are now connected to database "topmodelsql" as user "matthew".
SELECT 214
ALTER TABLE
SELECT 228
ALTER TABLE
 model_id |      model_name      |    area     | price_per_event |  category   |   agent   |                trait                 | rating |  next_event_date  | revenue 
----------+----------------------+-------------+-----------------+-------------+-----------+--------------------------------------+--------+-------------------+---------
       55 | Barbabas Biles       | Athens      |          694.95 | Fitness     | Katherine | Super Speed Typing                   |      3 | 21 February 2023  | 6153.47
       30 | Ashlie Seater        | Milan       |          625.87 | Promotional | Verity    | Infinite Clumsiness                  |      8 | 02 October 2023   | 7123.58
      125 | Karil Jerwood        | Stockholm   |          345.32 | Promotional | Christian | handstands                           |      4 | 18 March 2024     | 5611.36
       98 | Micaela Galliford    | Stockholm   |           61.11 | Fashion     | Christian | Telepathic Puns                      |      0 | 15 March 2023     |  7092.3
       40 | Toinette Machon      | Online      |          953.21 | Promotional | Alex      | finding loose change                 |      4 | 22 June 2024      | 7406.08
       54 | Gus Disman           | Athens      |          519.32 | Promotional | Katherine | movie quotes                         |      1 | 11 March 2023     |  4491.6
       27 | Wolfgang Oxshott     | Crewe       |          346.91 | Glamour     | Rose      | fall asleep anywhere                 |      9 | 11 April 2024     | 3103.04
       49 | Daron Humpage        | Milan       |          412.53 | Fashion     | Verity    | forgetting birthdays                 |      6 | 11 April 2023     | 3763.64
       37 | Sergio Haversum      | Online      |          773.96 | Promotional | Alex      | double jointed thumbs                |      8 | 03 November 2023  |  9123.7
      127 | Dorie Sperwell       | Stockholm   |          604.15 | Commercial  | Christian | movie quotes                         |      5 | 30 July 2022      | 7292.63
       58 | Lesly Mallinar       | Athens      |           833.1 | Swimsuit    | Katherine | handstands                           |      9 | 20 March 2024     | 4036.88
      169 | Codie Warters        | Athens      |           23.24 | Glamour     | Katherine | Turn Anything into a Dad Joke        |      6 | 23 December 2022  | 1086.75
      116 | Ingemar Gaul         | Online      |          688.47 | Glamour     | Alex      | Extreme Sarcasm Power                |      5 | 22 November 2025  |  4189.8
       62 | Verena Houtby        | Stockholm   |          348.59 | Promotional | Christian | lucky charm                          |      2 | 27 January 2023   | 8403.66
      159 | Morlee Thomtson      | Stockholm   |          927.93 | Commercial  | Christian | Uncontrollable Tickling              |      9 | 11 May 2023       | 1704.39
       34 | Selene Fowle         | Milan       |          897.98 | Fashion     | Verity    | Invisible Sneeze                     |      0 | 02 June 2022      | 5694.69
      201 | Shannon Dougharty    | Online      |           65.94 | Promotional | Alex      | handstands                           |      2 | 20 June 2023      | 1487.82
      211 | Joanna Cogdon        | Los Angeles |          568.89 | Fitness     | Paul      | Uncontrollable Tickling              |      9 | 10 November 2025  | 1006.37
        8 | Sam Pagne            | Athens      |          899.99 | Swimsuit    | Katherine | Old-money                            |      9 | 20 January 2022   | 9899.89
       26 | Laryssa Gowthrop     | Milan       |          525.18 | Fashion     | Verity    | Mind Reading Comedy                  |      1 | 11 April 2024     | 8164.88
      104 | Jozef Esler          | Stockholm   |           563.6 | Parts       | Christian | human GPS                            |      7 | 07 April 2025     | 8480.52
      176 | Tyrone Beckmann      | Athens      |          900.35 | Swimsuit    | Katherine | Extreme Paper Cut                    |      8 | 23 December 2023  | 1265.33
      202 | Orly Gasking         | London      |          597.45 | Commercial  | Kev       | fall asleep anywhere                 |      1 | 18 March 2024     |  5413.6
       14 | Ray Z                | London      |          470.68 | Parts       | Kev       | Card magic                           |      7 | 18 April 2022     | 5177.48
      133 | Sheela Illsley       | Los Angeles |          759.93 | Fitness     | Paul      | Super Ticklish Fingers               |      0 | 26 November 2023  | 1456.66
      166 | Even Fayerbrother    | Online      |          382.68 | Parts       | Alex      | Super Sticky Fingers                 |      2 | 22 February 2023  | 3228.12
      140 | Dalli Wicklen        | London      |          455.57 | Parts       | Kev       | perfect pitch                        |      5 | 22 August 2022    | 3224.95
       61 | Farleigh Dunsire     | Crewe       |          272.13 | Glamour     | Rose      | lucky charm                          |      7 | 04 September 2022 | 9035.74
       22 | Bess Wildman         | Los Angeles |          105.66 | Promotional | Paul      | Superhuman Lip Syncing               |      1 | 25 June 2023      | 7338.05
      183 | Dredi Wharby         | London      |          719.06 | Parts       | Kev       | Mildly Annoying Whistle              |      9 | 10 July 2023      | 9449.54
       63 | Yetty Wildblood      | Online      |          261.59 | Promotional | Alex      | double jointed thumbs                |      7 | 09 August 2022    | 5589.56
      189 | Ernestus Dyer        | Los Angeles |           43.58 | Promotional | Paul      | Invisible Sneeze                     |     10 | 18 June 2024      | 8226.02
      165 | La verne Scroxton    | Athens      |          917.21 | Promotional | Katherine | Uncontrollable Tickling              |      3 | 07 March 2022     | 1800.06
       56 | Titus Lexa           | Online      |           261.3 | Promotional | Alex      | fall asleep anywhere                 |      4 | 04 February 2024  | 6448.92
      193 | Jackie Preon         | Crewe       |          254.08 | Swimsuit    | Rose      | lucky charm                          |      6 | 10 September 2024 | 1848.03
       81 | Georgie Sweetman     | Milan       |          282.08 | Glamour     | Verity    | handstands                           |      2 | 10 April 2023     | 7200.32
      157 | Amber Nisuis         | Crewe       |           40.47 | Fashion     | Rose      | Incredible Nose Hair Growth          |      8 | 20 December 2024  | 3022.28
      208 | Jarrod Lorriman      | Stockholm   |          826.13 | Parts       | Christian | Super Speed Typing                   |      1 | 26 October 2024   | 8119.76
       38 | Aridatha Ianinotti   | Stockholm   |          822.21 | Promotional | Christian | Infinite Dad Jokes                   |      5 | 15 February 2022  | 8266.27
      162 | Cloris Durrell       | Crewe       |          814.26 | Glamour     | Rose      | Ability to Speak in Animal Languages |      6 | 15 June 2025      | 8471.67
      117 | Millard Scurrer      | Los Angeles |           836.9 | Fitness     | Paul      | Unlimited Dance Moves                |      6 | 24 September 2022 | 9885.37
      103 | Violette Tombleson   | Milan       |          936.06 | Fashion     | Verity    | Mildly Annoying Whistle              |      4 | 23 April 2022     | 8980.86
      205 | Patrice Philippson   | Crewe       |          590.69 | Promotional | Rose      | touch nose with tongue               |      9 | 09 September 2024 | 7178.51
      149 | Shepard Rawcliffe    | Athens      |          819.18 | Swimsuit    | Katherine | Turn Anything into a Dad Joke        |      5 | 20 June 2023      | 6523.19
       10 | Slam Dunk            | Los Angeles |          801.65 | Fitness     | Paul      | High-tops                            |      9 | 23 August 2022    | 7214.85
       44 | Zandra Siggs         | Stockholm   |          274.27 | Parts       | Christian | Super Sticky Fingers                 |      3 | 25 December 2025  | 2010.34
        5 | Sarah B              | Online      |          432.25 | Fitness     | Alex      | Influencer                           |      7 | 23 October 2022   |    3458
      155 | Brandice Lamberton   | Athens      |          712.52 | Swimsuit    | Katherine | Unbreakable Shoelaces                |      0 | 31 August 2025    | 1905.51
      105 | Jamey Golley         | Crewe       |          867.13 | Fitness     | Rose      | double jointed thumbs                |      5 | 23 August 2025    |  8027.5
      107 | Delilah Ducker       | Crewe       |           45.43 | Glamour     | Rose      | Invisible Burping                    |      5 | 07 August 2022    | 8934.36
       59 | Agnesse Peniman      | Crewe       |          462.78 | Parts       | Rose      | Super Slow Motion                    |      9 | 13 June 2025      | 5597.08
        4 | Rathbones Arr        | London      |          263.82 | Parts       | Kev       | Hand modelling                       |      5 | 6 March 2022      | 1846.74
